,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
95,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1969,1000 No,41015.865,X,Figure from international organizations,nan
96,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1969,1000 No,20111.857,X,Figure from international organizations,nan
97,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1969,1000 No,20904.008,X,Figure from international organizations,nan
98,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1969,1000 No,34731.487,X,Figure from international organizations,nan
99,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1969,1000 No,7578.178,X,Figure from international organizations,nan
100,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1970,1000 No,41928.849,X,Figure from international organizations,nan
101,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1970,1000 No,20542.041,X,Figure from international organizations,nan
102,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1970,1000 No,21386.807,X,Figure from international organizations,nan
103,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1970,1000 No,35463.753,X,Figure from international organizations,nan
104,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1970,1000 No,7943.534,X,Figure from international organizations,nan
105,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1971,1000 No,42916.624,X,Figure from international organizations,nan
106,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1971,1000 No,21009.828,X,Figure from international organizations,nan
107,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1971,1000 No,21906.796,X,Figure from international organizations,nan
108,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1971,1000 No,36302.425,X,Figure from international organizations,nan
109,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1971,1000 No,8183.483,X,Figure from international organizations,nan
110,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1972,1000 No,43906.019,X,Figure from international organizations,nan
111,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1972,1000 No,21473.022,X,Figure from international organizations,nan
112,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1972,1000 No,22432.997,X,Figure from international organizations,nan
113,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1972,1000 No,37126.532,X,Figure from international organizations,nan
114,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1972,1000 No,8422.951,X,Figure from international organizations,nan
115,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1973,1000 No,44891.281,X,Figure from international organizations,nan
116,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1973,1000 No,21934.454,X,Figure from international organizations,nan
117,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1973,1000 No,22956.827,X,Figure from international organizations,nan
118,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1973,1000 No,37941.752,X,Figure from international organizations,nan
119,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1973,1000 No,8662.974,X,Figure from international organizations,nan
120,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1974,1000 No,45898.698,X,Figure from international organizations,nan
121,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1974,1000 No,22409.573,X,Figure from international organizations,nan
122,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1974,1000 No,23489.125,X,Figure from international organizations,nan
123,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1974,1000 No,38756.159,X,Figure from international organizations,nan
124,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1974,1000 No,8905.614,X,Figure from international organizations,nan
125,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1975,1000 No,46969.616,X,Figure from international organizations,nan
126,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1975,1000 No,22923.821,X,Figure from international organizations,nan
127,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1975,1000 No,24045.794,X,Figure from international organizations,nan
128,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1975,1000 No,39576.916,X,Figure from international organizations,nan
129,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1975,1000 No,9152.476,X,Figure from international organizations,nan
130,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1976,1000 No,48163.573,X,Figure from international organizations,nan
131,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1976,1000 No,23513.873,X,Figure from international organizations,nan
132,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1976,1000 No,24649.701,X,Figure from international organizations,nan
133,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1976,1000 No,40404.308,X,Figure from international organizations,nan
134,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1976,1000 No,9403.763,X,Figure from international organizations,nan
135,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1977,1000 No,49418.15,X,Figure from international organizations,nan
136,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1977,1000 No,24137.493,X,Figure from international organizations,nan
137,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1977,1000 No,25280.657,X,Figure from international organizations,nan
138,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1977,1000 No,41239.864,X,Figure from international organizations,nan
