,ma_huyen,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
276-2019,276,2019,213584,,,52034,
277-2019,277,2019,335053,,,80727,
278-2019,278,2019,210323,,,50736,
279-2019,279,2019,253784,,,61611,
280-2019,280,2019,213681,,,50149,
281-2019,281,2019,210473,,,49513,
282-2019,282,2019,199723,,,48041,
288-2019,288,2019,239785,,,60849,
290-2019,290,2019,170670,,,41689,
291-2019,291,2019,126301,,,29103,
292-2019,292,2019,172334,,,39719,
293-2019,293,2019,136096,,,31840,
294-2019,294,2019,164375,,,37357,
295-2019,295,2019,146050,,,35966,
296-2019,296,2019,119148,,,27851,
297-2019,297,2019,151230,,,34762,
298-2019,298,2019,177113,,,40695,
299-2019,299,2019,146447,,,33082,
300-2019,300,2019,137486,,,31601,
303-2019,303,2019,96102,,,22942,
304-2019,304,2019,165194,,,40768,
305-2019,305,2019,216775,,,53036,
306-2019,306,2019,132417,,,33655,
307-2019,307,2019,115559,,,29845,
308-2019,308,2019,48953,,,11505,
309-2019,309,2019,59791,,,15117,
311-2019,311,2019,333066,,,79224,
312-2019,312,2019,195438,,,47772,
313-2019,313,2019,146537,,,33912,
314-2019,314,2019,140346,,,32547,
315-2019,315,2019,154297,,,34757,
316-2019,316,2019,182379,,,39391,
317-2019,317,2019,32090,,,7696,
318-2019,318,2019,624,,,226,
323-2019,323,2019,115964,,,27269,
325-2019,325,2019,131221,,,33260,
326-2019,326,2019,120554,,,29566,
327-2019,327,2019,155978,,,38553,
328-2019,328,2019,112125,,,27242,
329-2019,329,2019,134075,,,30448,
330-2019,330,2019,187344,,,43500,
331-2019,331,2019,117555,,,26688,
332-2019,332,2019,92825,,,21079,
333-2019,333,2019,79915,,,17775,
336-2019,336,2019,201703,,,49173,
338-2019,338,2019,240851,,,53559,
339-2019,339,2019,253143,,,57976,
340-2019,340,2019,244185,,,54576,
341-2019,341,2019,254840,,,55593,
342-2019,342,2019,215382,,,48573,
343-2019,343,2019,216479,,,48017,
344-2019,344,2019,227582,,,51963,
347-2019,347,2019,156224,,,37676,
349-2019,349,2019,136917,,,32181,
350-2019,350,2019,125272,,,29173,
351-2019,351,2019,118299,,,26772,
352-2019,352,2019,132906,,,29093,
353-2019,353,2019,180027,,,39725,
356-2019,356,2019,234702,,,54582,
358-2019,358,2019,72421,,,16231,
359-2019,359,2019,130547,,,28471,
360-2019,360,2019,228677,,,48425,
361-2019,361,2019,175594,,,39296,
362-2019,362,2019,183053,,,40389,
363-2019,363,2019,172311,,,37871,
364-2019,364,2019,148068,,,32002,
365-2019,365,2019,167486,,,37697,
366-2019,366,2019,262660,,,57723,
369-2019,369,2019,128040,,,30477,
370-2019,370,2019,61967,,,14364,
372-2019,372,2019,149217,,,32988,
373-2019,373,2019,120952,,,26544,
374-2019,374,2019,71723,,,16131,
375-2019,375,2019,146973,,,34026,
376-2019,376,2019,182529,,,43938,
377-2019,377,2019,118061,,,26446,
380-2019,380,2019,357181,,,87364,
381-2019,381,2019,58356,,,13295,
382-2019,382,2019,108555,,,27002,
384-2019,384,2019,39404,,,9828,
385-2019,385,2019,48360,,,12268,
386-2019,386,2019,100687,,,24186,
387-2019,387,2019,40347,,,10457,
388-2019,388,2019,49242,,,12477,
389-2019,389,2019,135890,,,33093,
390-2019,390,2019,110056,,,25982,
391-2019,391,2019,144177,,,34446,
392-2019,392,2019,118801,,,27587,
393-2019,393,2019,86302,,,19667,
394-2019,394,2019,165791,,,38231,
395-2019,395,2019,195944,,,42884,
396-2019,396,2019,88809,,,21658,
397-2019,397,2019,202281,,,47222,
398-2019,398,2019,160716,,,36774,
399-2019,399,2019,233028,,,53925,
400-2019,400,2019,176392,,,41901,
401-2019,401,2019,141065,,,33473,
402-2019,402,2019,66064,,,16073,
403-2019,403,2019,94708,,,23544,
404-2019,404,2019,182341,,,42249,
405-2019,405,2019,76920,,,17652,
406-2019,406,2019,199370,,,46957,
407-2019,407,2019,251049,,,58676,
412-2019,412,2019,334152,,,84271,
413-2019,413,2019,55523,,,14154,
414-2019,414,2019,66021,,,15749,
415-2019,415,2019,71547,,,18915,
416-2019,416,2019,57511,,,14752,
417-2019,417,2019,79891,,,20863,
418-2019,418,2019,77279,,,20875,
